,id,date_of_receipt,receipt_number,remarks,units,brand,category,brand_model,status,img,file_exists,file_name,file_size_MB,processed_data,m_receipt_date,m_receipt_number,m_brand_model,m_brand,receipt_type
0,653570,7/10/24,6804,Approved,1,Ray-Ban,Optical,5419,1,Receipt/2024/3mpxy8vkfz.jpg,Yes,3mpxy8vkfz.jpg,6.209891,"{'m_receipt_date': ['10/07/2024 .', '10/07/2024.'], 'm_receipt_number': [], 'm_brand_model': ['Model: 5419', 'Size: 54/19.', '5419', '54/19.'], 'm_brand': ['Rayban', 'Rayban'], 'id': 653570, 'receipt_type': 'Handwritten'}","['10/07/2024 .', '10/07/2024.']",[],"['Model: 5419', 'Size: 54/19.', '5419', '54/19.']","['Rayban', 'Rayban']",Handwritten
1,653568,7/3/24,VS057331,Approved,1,Coach,Sunglasses,HC8331,1,Receipt/2024/jpeg_20240710_134918.jpg,Yes,jpeg_20240710_134918.jpg,0.422174,"{'m_receipt_date': ['3/7/2024', '3/7/2024', '3/7/2024', '3/7/2024', '3/7/2024', '3/7/2024'], 'm_receipt_number': ['Cash Sale No.VS 057331', 'No.VS 057331', 'Cash Sale No.VS 057331'], 'm_brand_model': ['Frame: OHC 8331 5662G9', '8331'], 'm_brand': ['Frame: OHC 8331 5662G9'], 'id': 653568, 'receipt_type': 'Handwritten'}","['3/7/2024', '3/7/2024', '3/7/2024', '3/7/2024', '3/7/2024', '3/7/2024']","['Cash Sale No.VS 057331', 'No.VS 057331', 'Cash Sale No.VS 057331']","['Frame: OHC 8331 5662G9', '8331']",['Frame: OHC 8331 5662G9'],Handwritten
2,653567,7/10/24,29661,Approved,1,Ray-Ban,Sunglasses,9506,1,Receipt/2024/jpeg_20240710_133335.jpg,Yes,jpeg_20240710_133335.jpg,0.342647,"{'m_receipt_date': [], 'm_receipt_number': ['No. 29661', '29661'], 'm_brand_model': ['/ Contact Lens Ray Ban 9506 size 52 . of', '9506'], 'm_brand': ['/ Contact Lens Ray Ban 9506 size 52 . of'], 'id': 653567, 'receipt_type': 'Handwritten'}",[],"['No. 29661', '29661']","['/ Contact Lens Ray Ban 9506 size 52 . of', '9506']",['/ Contact Lens Ray Ban 9506 size 52 . of'],Handwritten
3,653566,7/8/24,4573,Approved,1,Ray-Ban,Optical,7094d 2012,1,Receipt/2024/ckurnrsjx1.jpg,Yes,ckurnrsjx1.jpg,9.025862,"{'m_receipt_date': ['Monday, 8 July 2024, 12:43:18 pm'], 'm_receipt_number': ['OR-POC24004573', 'OR-POC24004573'], 'm_brand_model': ['F0001725, RAY BAN RB7094D 201255'], 'm_brand': ['F0001725, RAY BAN RB7094D 201255'], 'id': 653566, 'receipt_type': 'Printed'}","['Monday, 8 July 2024, 12:43:18 pm']","['OR-POC24004573', 'OR-POC24004573']","['F0001725, RAY BAN RB7094D 201255']","['F0001725, RAY BAN RB7094D 201255']",Printed
4,653565,7/9/24,4622,Approved,1,Ray-Ban,Optical,7140 8125,1,Receipt/2024/gqmtv8w4l1.jpg,Yes,gqmtv8w4l1.jpg,8.727398,"{'m_receipt_date': ['Tuesday, 9 July 2024, 6:28:57 pm'], 'm_receipt_number': ['OR-POC24004622', 'OR-POC24004622'], 'm_brand_model': ['F0008967, RAY BAN RB7140 8125 49'], 'm_brand': ['F0008967, RAY BAN RB7140 8125 49'], 'id': 653565, 'receipt_type': 'Printed'}","['Tuesday, 9 July 2024, 6:28:57 pm']","['OR-POC24004622', 'OR-POC24004622']","['F0008967, RAY BAN RB7140 8125 49']","['F0008967, RAY BAN RB7140 8125 49']",Printed
5,653545,6/11/24,185956,Approved,1,Ray-Ban,Optical,rb6489,1,Receipt/2024/xaj3ugrawg.jpg,Yes,xaj3ugrawg.jpg,5.394993,"{'m_receipt_date': ['11/6/24', '11/6/24', '11/6/24', '11/6/24'], 'm_receipt_number': ['Prescription No. 185956', 'Prescription No. 185956', '185956', '185956'], 'm_brand_model': ['RB 6489 2501', '6489'], 'm_brand': ['RB 6489 2501'], 'id': 653545, 'receipt_type': 'Handwritten'}","['11/6/24', '11/6/24', '11/6/24', '11/6/24']","['Prescription No. 185956', 'Prescription No. 185956', '185956', '185956']","['RB 6489 2501', '6489']",['RB 6489 2501'],Handwritten
6,653544,6/11/24,185955,Approved,1,Oakley,Optical,ox8141,1,Receipt/2024/2upvxyzd4c.jpg,Yes,2upvxyzd4c.jpg,4.887519,"{'m_receipt_date': ['11/6/24', '11/6/24'], 'm_receipt_number': ['Prescription No. 185955', 'Prescription No. 185955', '185955', '185955'], 'm_brand_model': ['Dakley 0x8141-0656', '0x8141-0656'], 'm_brand': ['Dakley 0x8141-0656'], 'id': 653544, 'receipt_type': 'Handwritten'}","['11/6/24', '11/6/24']","['Prescription No. 185955', 'Prescription No. 185955', '185955', '185955']","['Dakley 0x8141-0656', '0x8141-0656']",['Dakley 0x8141-0656'],Handwritten
7,653543,6/10/24,185953,Approved,1,Ray-Ban,Optical,rb8772,1,Receipt/2024/x2cr4u2o27.jpg,Yes,x2cr4u2o27.jpg,4.433768,"{'m_receipt_date': ['10/6/24', '10/6/24', '10/6/24', '10/6/24'], 'm_receipt_number': ['Prescription No. 185953', 'Prescription No. 185953', '185953', '185953'], 'm_brand_model': ['RB 87720 1240', '87720'], 'm_brand': ['RB 87720 1240'], 'id': 653543, 'receipt_type': 'Handwritten'}","['10/6/24', '10/6/24', '10/6/24', '10/6/24']","['Prescription No. 185953', 'Prescription No. 185953', '185953', '185953']","['RB 87720 1240', '87720']",['RB 87720 1240'],Handwritten
8,653541,6/8/24,185950,Approved,1,Ray-Ban,Optical,rb6474,1,Receipt/2024/u0z230rkoc.jpg,Yes,u0z230rkoc.jpg,4.259372,"{'m_receipt_date': ['8/6/24', '8/6/24', '8/6/24', '8/6/24'], 'm_receipt_number': ['Prescription No. 185950', 'Prescription No. 185950', '185950', '185950'], 'm_brand_model': ['RB 64740 2983', '64740'], 'm_brand': ['RB 64740 2983'], 'id': 653541, 'receipt_type': 'Handwritten'}","['8/6/24', '8/6/24', '8/6/24', '8/6/24']","['Prescription No. 185950', 'Prescription No. 185950', '185950', '185950']","['RB 64740 2983', '64740']",['RB 64740 2983'],Handwritten
9,653540,6/8/24,185949,Approved,1,Ray-Ban,Optical,rb6472,1,Receipt/2024/49e8tglcul.jpg,Yes,49e8tglcul.jpg,4.765604,"{'m_receipt_date': ['8/6/24', '8/6/24', '8/6/24', '8/6/24'], 'm_receipt_number': ['Prescription No. 185949', 'Prescription No. 185949', '185949', '185949'], 'm_brand_model': ['RB 6472F 2502', '6472F'], 'm_brand': ['RB 6472F 2502'], 'id': 653540, 'receipt_type': 'Handwritten'}","['8/6/24', '8/6/24', '8/6/24', '8/6/24']","['Prescription No. 185949', 'Prescription No. 185949', '185949', '185949']","['RB 6472F 2502', '6472F']",['RB 6472F 2502'],Handwritten
